,stop_id,stop_lat,stop_lon,Number of Stops,City,State
2581,6487.0,41.482237,-81.939231,4,,
2580,6485.0,41.482268,-81.924382,4,,
2549,6414.0,41.377115,-81.526939,4,,
2578,6483.0,41.482278,-81.940885,4,,
2577,6482.0,41.482199,-81.937064,4,,
2557,6438.0,41.382183000000005,-81.527119,4,,
2575,6480.0,41.482392,-81.949526,4,,
3666,8700.0,41.479645,-81.88384,4,,
4092,9905.0,41.313844,-81.710163,4,,
4091,9903.0,41.313831,-81.705861,4,,
3662,8693.0,41.484956,-81.91611400000001,4,,
421,1596.0,41.392631,-81.72267099999999,4,,
5238,14272.0,41.480999,-81.860231,4,,
430,1644.0,41.313643,-81.733661,4,,
1017,3005.0,41.482084,-81.881928,4,,
5130,14125.0,41.389509000000004,-81.84529599999999,4,,
466,1751.0,41.31345,-81.741377,4,,
469,1755.0,41.312799,-81.748918,4,,
490,1858.0,41.312692,-81.748838,4,,
3856,9302.0,41.487934,-81.830033,4,,
5239,14273.0,41.496439,-81.95689499999999,4,,
3657,8682.0,41.482096000000006,-81.899487,4,,
5241,14275.0,41.482893,-81.84929699999999,4,,
3658,8685.0,41.485391,-81.95980899999999,4,,
5237,14271.0,41.481811,-81.85443199999999,4,,
4057,9829.0,41.313831,-81.718801,4,,
4361,10598.0,41.423481,-81.723102,4,,
4059,9833.0,41.313738,-81.705871,4,,
4060,9834.0,41.313733,-81.703153,4,,
4061,9836.0,41.313758,-81.698552,4,,
4062,9837.0,41.313751,-81.696191,4,,
4365,10622.0,41.484218,-81.92094300000001,4,,
4063,9839.0,41.313782,-81.690373,4,,
4088,9899.0,41.313909,-81.696199,4,,
561,2057.0,41.483160999999996,-81.950086,4,,
562,2058.0,41.485310999999996,-81.950439,4,,
3660,8691.0,41.482452,-81.90128100000001,4,,
4089,9900.0,41.313836,-81.698298,4,,
4090,9902.0,41.313831,-81.70303,4,,
4058,9831.0,41.313784999999996,-81.713914,4,,
5425,14575.0,41.313734000000004,-81.73436,4,,
2585,6491.0,41.482155999999996,-81.930472,4,,
294,971.0,41.482313,-81.942975,4,,
3488,8293.0,41.409356,-81.72273100000001,4,,
5596,14770.0,41.389601,-81.85019799999999,4,,
1116,3266.0,41.380503999999995,-81.732484,4,,
1681,4749.0,41.425815,-81.723186,4,,
4788,11730.0,41.367036999999996,-81.52685,4,,
3486,8291.0,41.411394,-81.72272099999999,4,,
4789,11731.0,41.361871,-81.52680500000001,4,,
4790,11732.0,41.359705,-81.526779,4,,
3484,8289.0,41.389076,-81.723357,4,,
4791,11733.0,41.357999,-81.52543399999999,4,,
4792,11734.0,41.357986,-81.523298,4,,
3482,8287.0,41.39395,-81.722723,4,,
3481,8286.0,41.415144,-81.72274200000001,4,,
4793,11735.0,41.357962,-81.518927,4,,
4794,11736.0,41.357901,-81.50857099999999,4,,
1114,3264.0,41.379047,-81.72915400000001,4,,
4795,11737.0,41.357909,-81.499913,4,,
3480,8284.0,41.390716,-81.722794,4,,
4854,11956.0,41.48001,-81.886123,4,,
4887,12220.0,41.481638000000004,-81.866708,4,,
4855,11957.0,41.483225,-81.920988,4,,
5426,14576.0,41.312725,-81.745134,4,,
3476,8280.0,41.41827,-81.722672,4,,
281,918.0,41.482259,-81.927289,4,,
3489,8294.0,41.399765,-81.722724,4,,
5595,14769.0,41.389480999999996,-81.84319599999999,4,,
3491,8296.0,41.384814,-81.723451,4,,
5736,16768.0,41.393491,-81.842647,4,,
1701,4771.0,41.427786,-81.72327,4,,
3472,8276.0,41.401401,-81.72273299999999,4,,
1210,3522.0,41.479081,-81.921185,4,,
4770,11630.0,41.481575,-81.87201999999999,4,,
3493,8299.0,41.403059000000006,-81.722726,4,,
4489,10968.0,41.382451,-81.723443,4,,
4796,11738.0,41.357894,-81.503979,4,,
4805,11747.0,41.364835,-81.526818,4,,
4787,11729.0,41.373011,-81.526891,4,,
4467,10938.0,41.482135,-81.878646,4,,
4491,10970.0,41.38796,-81.723297,4,,
5427,14577.0,41.312816,-81.751933,4,,
5611,14785.0,41.393761,-81.842515,5,,
5608,14782.0,41.389669,-81.84275699999999,5,,
1702,4772.0,41.428301,-81.723476,5,,
4490,10969.0,41.3821,-81.723576,5,,
5607,14781.0,41.389513,-81.8502,5,,
1118,3269.0,41.380621000000005,-81.73427,5,,
1688,4756.0,41.430145,-81.723812,5,,
1687,4755.0,41.429512,-81.723598,5,,
2088,5607.0,41.378983000000005,-81.728804,5,,
1699,4769.0,41.434013,-81.723451,5,,
1698,4768.0,41.433715,-81.72330799999999,5,,
4661,11307.0,41.423164,-81.72325,5,,
1724,4799.0,41.436599,-81.723353,5,,
3474,8278.0,41.392035,-81.722821,5,,
1725,4800.0,41.436504,-81.723487,5,,
401,1531.0,41.379345,-81.725988,5,,
1682,4750.0,41.42633,-81.723315,5,,
1685,4753.0,41.431962,-81.723678,5,,
1686,4754.0,41.432252000000005,-81.723783,5,,
3473,8277.0,41.399834000000006,-81.722838,5,,
382,1438.0,41.420010999999995,-81.726709,5,,
392,1487.0,41.379937,-81.723998,5,,
4492,10971.0,41.387971,-81.723434,5,,
3478,8282.0,41.401481,-81.72280699999999,5,,
3496,8302.0,41.405108,-81.722821,5,,
5127,14122.0,41.39529,-81.842396,5,,
3475,8279.0,41.414371,-81.722849,5,,
5277,14322.0,41.406105,-81.722817,5,,
5126,14121.0,41.39124,-81.842667,5,,
3487,8292.0,41.409290000000006,-81.72283399999999,5,,
